BATCH_SIZE,CPU_PERC,RUN,TIME
1,0.0,0,14.175652742385864
1,0.0,1,14.634048461914062
1,0.0,2,14.248028039932251
1,0.01,0,13.899404287338257
1,0.01,1,14.11587643623352
1,0.01,2,14.32330322265625
1,0.02,0,13.86085319519043
1,0.02,1,13.808392524719238
1,0.02,2,13.969777345657349
1,0.03,0,13.633949518203735
1,0.03,1,14.10500979423523
1,0.03,2,13.590762853622437
1,0.04,0,13.679096937179565
1,0.04,1,13.524025440216064
1,0.04,2,13.65263056755066
1,0.05,0,13.372005701065063
1,0.05,1,13.44678544998169
1,0.05,2,13.298684358596802
1,0.06,0,13.434481143951416
1,0.06,1,13.244614601135254
1,0.06,2,13.454424142837524
1,0.07,0,13.033604621887207
1,0.07,1,13.276425123214722
1,0.07,2,13.152568817138672
1,0.08,0,13.170064210891724
1,0.08,1,13.378831148147583
1,0.08,2,13.251685380935669
1,0.09,0,12.85062551498413
1,0.09,1,13.031229972839355
1,0.09,2,12.873596906661987
1,0.1,0,12.83180856704712
1,0.1,1,12.884936332702637
1,0.1,2,13.035318613052368
2,0.0,0,7.215237617492676
2,0.0,1,7.444109201431274
2,0.0,2,7.257548570632935
2,0.01,0,7.35764479637146
2,0.01,1,7.245473384857178
2,0.01,2,7.475132942199707
2,0.02,0,7.491302013397217
2,0.02,1,7.194690704345703
2,0.02,2,7.407982110977173
2,0.03,0,7.213623046875
2,0.03,1,7.113793849945068
2,0.03,2,7.275146245956421
2,0.04,0,6.914031982421875
2,0.04,1,7.086212635040283
2,0.04,2,6.911987066268921
2,0.05,0,7.03976035118103
2,0.05,1,6.944514513015747
2,0.05,2,7.075973987579346
2,0.06,0,6.8145060539245605
2,0.06,1,6.974914073944092
2,0.06,2,6.829923391342163
2,0.07,0,6.854029417037964
2,0.07,1,6.8075478076934814
2,0.07,2,6.91072416305542
2,0.08,0,6.7304158210754395
2,0.08,1,6.830167531967163
2,0.08,2,6.75517463684082
2,0.09,0,6.64115047454834
2,0.09,1,6.627605676651001
2,0.09,2,6.775788307189941
2,0.1,0,6.627490043640137
2,0.1,1,6.635818719863892
2,0.1,2,6.546162843704224
4,0.0,0,4.022661924362183
4,0.0,1,3.9877336025238037
4,0.0,2,4.070660352706909
4,0.01,0,3.983275890350342
4,0.01,1,4.556882381439209
4,0.01,2,4.009133338928223
4,0.02,0,4.10546612739563
4,0.02,1,3.9754045009613037
4,0.02,2,4.0397210121154785
4,0.03,0,3.942394256591797
4,0.03,1,4.027865171432495
4,0.03,2,3.9727814197540283
4,0.04,0,3.957153081893921
4,0.04,1,3.955047130584717
4,0.04,2,4.009356260299683
4,0.05,0,3.9330790042877197
4,0.05,1,4.010372877120972
4,0.05,2,4.072856426239014
4,0.06,0,3.942007303237915
4,0.06,1,3.909104824066162
4,0.06,2,3.9451711177825928
4,0.07,0,3.865878105163574
4,0.07,1,3.9075679779052734
4,0.07,2,3.8880131244659424
4,0.08,0,3.922607898712158
4,0.08,1,3.8561275005340576
4,0.08,2,3.9179162979125977
4,0.09,0,3.825103998184204
4,0.09,1,3.8582241535186768
4,0.09,2,3.8575026988983154
4,0.1,0,3.8879590034484863
4,0.1,1,3.827289581298828
4,0.1,2,4.447194337844849
8,0.0,0,2.3171825408935547
8,0.0,1,2.3403751850128174
8,0.0,2,2.3322880268096924
8,0.01,0,2.3322255611419678
8,0.01,1,2.339465379714966
8,0.01,2,2.3860929012298584
8,0.02,0,2.3290016651153564
8,0.02,1,2.3556454181671143
8,0.02,2,2.327272415161133
8,0.03,0,2.325713634490967
8,0.03,1,2.327631950378418
8,0.03,2,2.338303327560425
8,0.04,0,2.356323480606079
8,0.04,1,2.344756841659546
8,0.04,2,2.3198587894439697
8,0.05,0,2.312804698944092
8,0.05,1,2.3265187740325928
8,0.05,2,2.3748464584350586
8,0.06,0,2.3427562713623047
8,0.06,1,2.315375328063965
8,0.06,2,2.312751293182373
8,0.07,0,2.341973304748535
8,0.07,1,2.305048942565918
8,0.07,2,2.3445541858673096
8,0.08,0,2.3257415294647217
8,0.08,1,2.327349901199341
8,0.08,2,2.3423821926116943
8,0.09,0,2.3254973888397217
8,0.09,1,2.326512098312378
8,0.09,2,2.3085389137268066
8,0.1,0,2.3060338497161865
8,0.1,1,2.3407504558563232
8,0.1,2,2.307464838027954
16,0.0,0,1.3684403896331787
16,0.0,1,1.3579485416412354
16,0.0,2,1.3850595951080322
16,0.01,0,1.4179720878601074
16,0.01,1,1.4733216762542725
16,0.01,2,1.4247512817382812
16,0.02,0,1.424360990524292
16,0.02,1,1.4043145179748535
16,0.02,2,1.4379684925079346
16,0.03,0,1.435171127319336
16,0.03,1,1.4409520626068115
16,0.03,2,1.4839866161346436
16,0.04,0,1.4814116954803467
16,0.04,1,1.483656644821167
16,0.04,2,1.4993767738342285
16,0.05,0,1.4700329303741455
16,0.05,1,1.5269534587860107
16,0.05,2,1.4828996658325195
16,0.06,0,1.5103785991668701
16,0.06,1,1.510514497756958
16,0.06,2,1.5268449783325195
16,0.07,0,1.5407001972198486
16,0.07,1,1.5236616134643555
16,0.07,2,1.5267882347106934
16,0.08,0,1.5742771625518799
16,0.08,1,1.5274171829223633
16,0.08,2,1.5354835987091064
16,0.09,0,1.5594027042388916
16,0.09,1,1.5888819694519043
16,0.09,2,1.569303274154663
16,0.1,0,1.6027445793151855
16,0.1,1,1.5719799995422363
16,0.1,2,1.609046220779419
32,0.0,0,1.2806189060211182
32,0.0,1,1.008033037185669
32,0.0,2,1.2425644397735596
32,0.01,0,0.9536569118499756
32,0.01,1,0.9616954326629639
32,0.01,2,0.97454833984375
32,0.02,0,1.0087919235229492
32,0.02,1,0.9705674648284912
32,0.02,2,0.9856936931610107
32,0.03,0,1.0259778499603271
32,0.03,1,1.023108959197998
32,0.03,2,1.0271928310394287
32,0.04,0,1.0379226207733154
32,0.04,1,1.0533778667449951
32,0.04,2,1.036203384399414
32,0.05,0,1.0599043369293213
32,0.05,1,1.0284764766693115
32,0.05,2,1.0909247398376465
32,0.06,0,1.0872089862823486
32,0.06,1,1.1128554344177246
32,0.06,2,1.107891321182251
32,0.07,0,1.1157739162445068
32,0.07,1,1.14078950881958
32,0.07,2,1.124345302581787
32,0.08,0,1.1415648460388184
32,0.08,1,1.1435554027557373
32,0.08,2,1.176675796508789
32,0.09,0,1.1824088096618652
32,0.09,1,1.203357458114624
32,0.09,2,1.17478609085083
32,0.1,0,1.2088263034820557
32,0.1,1,1.2067639827728271
32,0.1,2,1.2107856273651123
64,0.0,0,0.8239622116088867
64,0.0,1,0.7078630924224854
64,0.0,2,0.6615438461303711
64,0.01,0,0.7267541885375977
64,0.01,1,0.854433536529541
64,0.01,2,0.7271027565002441
64,0.02,0,0.7613680362701416
64,0.02,1,0.7709546089172363
64,0.02,2,0.7682194709777832
64,0.03,0,0.7804124355316162
64,0.03,1,0.7571322917938232
64,0.03,2,0.817842960357666
64,0.04,0,0.8397839069366455
64,0.04,1,0.8273680210113525
64,0.04,2,0.8327677249908447
64,0.05,0,0.8591427803039551
64,0.05,1,0.8260855674743652
64,0.05,2,0.8213307857513428
64,0.06,0,0.8739230632781982
64,0.06,1,0.8860218524932861
64,0.06,2,0.8902866840362549
64,0.07,0,0.9113790988922119
64,0.07,1,0.8856570720672607
64,0.07,2,0.8904285430908203
64,0.08,0,0.9381675720214844
64,0.08,1,0.9260926246643066
64,0.08,2,0.9444625377655029
64,0.09,0,0.9770724773406982
64,0.09,1,0.9964125156402588
64,0.09,2,0.9698665142059326
64,0.1,0,1.0523133277893066
64,0.1,1,1.002030372619629
64,0.1,2,1.0097661018371582
128,0.0,0,0.7016744613647461
128,0.0,1,0.6275224685668945
128,0.0,2,0.6259000301361084
128,0.01,0,0.7376935482025146
128,0.01,1,0.8233704566955566
128,0.01,2,0.7095251083374023
128,0.02,0,0.7534840106964111
128,0.02,1,0.7068524360656738
128,0.02,2,0.6993081569671631
128,0.03,0,0.788445234298706
128,0.03,1,0.7348496913909912
128,0.03,2,0.7896714210510254
128,0.04,0,0.8704161643981934
128,0.04,1,0.806847333908081
128,0.04,2,0.8050525188446045
128,0.05,0,0.7723438739776611
128,0.05,1,0.9891431331634521
128,0.05,2,0.823664665222168
128,0.06,0,0.8232083320617676
128,0.06,1,0.8706657886505127
128,0.06,2,0.8695056438446045
128,0.07,0,0.8555235862731934
128,0.07,1,0.8996176719665527
128,0.07,2,0.8582003116607666
128,0.08,0,0.8904728889465332
128,0.08,1,0.8889436721801758
128,0.08,2,0.9125666618347168
128,0.09,0,0.9241929054260254
128,0.09,1,0.9431970119476318
128,0.09,2,0.949988603591919
128,0.1,0,1.0043132305145264
128,0.1,1,1.0232882499694824
128,0.1,2,0.940673828125
256,0.0,0,0.5891268253326416
256,0.0,1,0.5905301570892334
256,0.0,2,0.6515827178955078
256,0.01,0,0.6063892841339111
256,0.01,1,0.635108232498169
256,0.01,2,0.5916528701782227
256,0.02,0,0.62788987159729
256,0.02,1,0.6343584060668945
256,0.02,2,0.58628249168396
256,0.03,0,0.7288196086883545
256,0.03,1,0.7160749435424805
256,0.03,2,0.7066130638122559
256,0.04,0,0.7237131595611572
256,0.04,1,0.71868896484375
256,0.04,2,0.7423100471496582
256,0.05,0,0.7948336601257324
256,0.05,1,0.7743830680847168
256,0.05,2,0.8630714416503906
256,0.06,0,0.7853572368621826
256,0.06,1,0.7698774337768555
256,0.06,2,0.866178035736084
256,0.07,0,0.7713150978088379
256,0.07,1,0.8107450008392334
256,0.07,2,0.7850770950317383
256,0.08,0,0.8342669010162354
256,0.08,1,0.8908741474151611
256,0.08,2,0.853642463684082
256,0.09,0,0.8587207794189453
256,0.09,1,0.8869245052337646
256,0.09,2,0.9062623977661133
256,0.1,0,0.9455709457397461
256,0.1,1,0.9583051204681396
256,0.1,2,0.9490659236907959
