BATCH_SIZE,CPU_PERC,RUN,TIME
1,0.0,0,17.86537456512451
1,0.0,1,18.19545865058899
1,0.0,2,17.67469596862793
1,0.01,0,18.051010608673096
1,0.01,1,17.722423315048218
1,0.01,2,18.628880500793457
1,0.02,0,17.468505144119263
1,0.02,1,17.627689361572266
1,0.02,2,17.516812801361084
1,0.03,0,17.283755779266357
1,0.03,1,17.360468864440918
1,0.03,2,17.585005283355713
1,0.04,0,17.180997371673584
1,0.04,1,17.221898555755615
1,0.04,2,17.2251398563385
1,0.05,0,16.96921420097351
1,0.05,1,17.017868280410767
1,0.05,2,16.97106170654297
1,0.06,0,16.66496992111206
1,0.06,1,16.753966808319092
1,0.06,2,16.884538173675537
1,0.07,0,16.68509531021118
1,0.07,1,16.56208062171936
1,0.07,2,16.71865439414978
1,0.08,0,16.488113403320312
1,0.08,1,16.63727879524231
1,0.08,2,16.8208065032959
1,0.09,0,16.523038864135742
1,0.09,1,16.321099758148193
1,0.09,2,16.806111812591553
1,0.1,0,15.969744205474854
1,0.1,1,16.14497470855713
1,0.1,2,18.137447118759155
2,0.0,0,9.261546850204468
2,0.0,1,10.492990970611572
2,0.0,2,9.372746706008911
2,0.01,0,9.251318454742432
2,0.01,1,9.19327425956726
2,0.01,2,9.355762481689453
2,0.02,0,9.391471862792969
2,0.02,1,9.216224431991577
2,0.02,2,9.426171064376831
2,0.03,0,9.149934768676758
2,0.03,1,9.15872049331665
2,0.03,2,9.094796895980835
2,0.04,0,9.128947496414185
2,0.04,1,8.934056043624878
2,0.04,2,9.27647066116333
2,0.05,0,8.932684183120728
2,0.05,1,8.99638843536377
2,0.05,2,9.114010334014893
2,0.06,0,8.977083444595337
2,0.06,1,8.814436197280884
2,0.06,2,8.891728401184082
2,0.07,0,8.949923276901245
2,0.07,1,8.999909162521362
2,0.07,2,8.795559167861938
2,0.08,0,8.976694822311401
2,0.08,1,8.817687273025513
2,0.08,2,8.825313329696655
2,0.09,0,8.793044567108154
2,0.09,1,8.678552627563477
2,0.09,2,9.682617664337158
2,0.1,0,8.690118551254272
2,0.1,1,8.595281839370728
2,0.1,2,8.76459527015686
4,0.0,0,5.644658327102661
4,0.0,1,5.3164403438568115
4,0.0,2,5.229436159133911
4,0.01,0,5.3119683265686035
4,0.01,1,5.29430365562439
4,0.01,2,5.409757614135742
4,0.02,0,5.275922536849976
4,0.02,1,5.314754009246826
4,0.02,2,5.276347637176514
4,0.03,0,5.277958631515503
4,0.03,1,5.226888418197632
4,0.03,2,5.433885812759399
4,0.04,0,5.1917126178741455
4,0.04,1,5.3277812004089355
4,0.04,2,5.244419574737549
4,0.05,0,5.269869565963745
4,0.05,1,5.226022481918335
4,0.05,2,5.316666603088379
4,0.06,0,5.159149885177612
4,0.06,1,5.373197555541992
4,0.06,2,5.191859722137451
4,0.07,0,5.359456300735474
4,0.07,1,5.165278911590576
4,0.07,2,5.342526435852051
4,0.08,0,5.209855556488037
4,0.08,1,5.190374135971069
4,0.08,2,5.226726531982422
4,0.09,0,5.273846864700317
4,0.09,1,6.056136846542358
4,0.09,2,5.265878677368164
4,0.1,0,5.186736583709717
4,0.1,1,5.311229467391968
4,0.1,2,5.157852411270142
8,0.0,0,3.1051723957061768
8,0.0,1,3.804123640060425
8,0.0,2,3.657923698425293
8,0.01,0,3.245009183883667
8,0.01,1,3.14866042137146
8,0.01,2,3.173065662384033
