BATCH_SIZE,CPU_PERC,RUN,TIME
1,0.0,0,14.519346714019775
1,0.0,1,14.042060613632202
1,0.0,2,14.138793468475342
1,0.01,0,14.047324180603027
1,0.01,1,14.316712856292725
1,0.01,2,13.936692237854004
1,0.02,0,13.77372121810913
1,0.02,1,13.92118787765503
1,0.02,2,13.73764681816101
1,0.03,0,15.680929899215698
1,0.03,1,13.66337776184082
1,0.03,2,13.721708059310913
1,0.04,0,13.438228130340576
1,0.04,1,13.667160749435425
1,0.04,2,13.420131206512451
1,0.05,0,13.550840139389038
1,0.05,1,13.37636947631836
1,0.05,2,13.553242444992065
1,0.06,0,13.849314212799072
1,0.06,1,13.342416524887085
1,0.06,2,13.184256553649902
1,0.07,0,13.200418472290039
1,0.07,1,13.033297061920166
1,0.07,2,13.05781626701355
1,0.08,0,12.991445779800415
1,0.08,1,13.127062320709229
1,0.08,2,12.925040006637573
1,0.09,0,12.82321548461914
1,0.09,1,12.796999216079712
1,0.09,2,12.986028671264648
1,0.1,0,12.655745267868042
1,0.1,1,12.790933847427368
1,0.1,2,12.732769012451172
2,0.0,0,7.804670095443726
2,0.0,1,7.204153776168823
2,0.0,2,7.315215110778809
2,0.01,0,7.1176512241363525
2,0.01,1,7.260977029800415
2,0.01,2,8.13425874710083
2,0.02,0,7.227808475494385
2,0.02,1,7.07379150390625
2,0.02,2,7.2362143993377686
2,0.03,0,6.994919300079346
2,0.03,1,7.055488109588623
2,0.03,2,7.004770994186401
2,0.04,0,6.997758150100708
2,0.04,1,6.9354023933410645
2,0.04,2,7.070786476135254
2,0.05,0,6.915645599365234
2,0.05,1,6.926393270492554
2,0.05,2,6.925194263458252
2,0.06,0,6.8981239795684814
2,0.06,1,6.8178935050964355
2,0.06,2,6.855573415756226
2,0.07,0,6.702504634857178
2,0.07,1,6.920303583145142
2,0.07,2,6.784696817398071
2,0.08,0,6.773711442947388
2,0.08,1,6.624817848205566
2,0.08,2,6.7822043895721436
2,0.09,0,6.643734693527222
2,0.09,1,6.695266008377075
2,0.09,2,6.616473913192749
2,0.1,0,6.642832279205322
2,0.1,1,6.465428113937378
2,0.1,2,6.5806005001068115
4,0.0,0,3.940568685531616
4,0.0,1,4.7897491455078125
4,0.0,2,3.933539628982544
4,0.01,0,3.979264974594116
4,0.01,1,3.940967082977295
4,0.01,2,4.002693176269531
4,0.02,0,3.8911197185516357
4,0.02,1,3.9758334159851074
4,0.02,2,3.925542116165161
4,0.03,0,3.944115161895752
4,0.03,1,3.8786981105804443
4,0.03,2,3.9409947395324707
4,0.04,0,3.8529210090637207
4,0.04,1,3.9465088844299316
4,0.04,2,3.8693623542785645
4,0.05,0,3.8576247692108154
4,0.05,1,3.8395836353302
4,0.05,2,3.9281888008117676
4,0.06,0,3.814629554748535
4,0.06,1,3.8752341270446777
4,0.06,2,3.8488478660583496
4,0.07,0,3.814770221710205
4,0.07,1,3.7945733070373535
4,0.07,2,3.8299593925476074
4,0.08,0,3.882664918899536
4,0.08,1,3.8628456592559814
4,0.08,2,3.7851109504699707
4,0.09,0,3.7698564529418945
4,0.09,1,3.7679755687713623
4,0.09,2,3.8265552520751953
4,0.1,0,3.7414612770080566
4,0.1,1,3.794682025909424
4,0.1,2,3.7294254302978516
8,0.0,0,2.3122401237487793
8,0.0,1,2.2759242057800293
8,0.0,2,2.3053224086761475
8,0.01,0,2.289539337158203
8,0.01,1,2.3119192123413086
8,0.01,2,2.272373914718628
8,0.02,0,2.277188539505005
8,0.02,1,2.2568700313568115
8,0.02,2,2.2703962326049805
8,0.03,0,2.2578182220458984
8,0.03,1,2.246990919113159
8,0.03,2,2.210972785949707
8,0.04,0,2.263397216796875
8,0.04,1,2.1831231117248535
8,0.04,2,2.1803719997406006
8,0.05,0,2.20310378074646
8,0.05,1,2.1491806507110596
8,0.05,2,2.1786279678344727
8,0.06,0,2.1702022552490234
8,0.06,1,2.181643009185791
8,0.06,2,2.1504979133605957
8,0.07,0,2.1655118465423584
8,0.07,1,2.2187349796295166
8,0.07,2,2.26004958152771
8,0.08,0,2.1916370391845703
8,0.08,1,2.21832275390625
8,0.08,2,2.3168528079986572
8,0.09,0,2.2464163303375244
8,0.09,1,2.159801959991455
8,0.09,2,2.273813247680664
8,0.1,0,2.258192300796509
8,0.1,1,2.258620500564575
8,0.1,2,2.2581863403320312
16,0.0,0,1.3342628479003906
16,0.0,1,1.3456575870513916
16,0.0,2,1.3240361213684082
16,0.01,0,1.3893187046051025
16,0.01,1,1.358283519744873
16,0.01,2,1.3759727478027344
16,0.02,0,1.378300428390503
16,0.02,1,1.377959966659546
16,0.02,2,1.3793370723724365
16,0.03,0,1.3938465118408203
16,0.03,1,1.3992350101470947
16,0.03,2,1.4097778797149658
16,0.04,0,1.3924281597137451
16,0.04,1,1.3878545761108398
16,0.04,2,1.4281878471374512
16,0.05,0,1.4334025382995605
16,0.05,1,1.3866171836853027
16,0.05,2,1.4259867668151855
16,0.06,0,1.44319486618042
16,0.06,1,1.4474594593048096
16,0.06,2,1.4171996116638184
16,0.07,0,1.4570848941802979
16,0.07,1,1.438857078552246
16,0.07,2,1.4390766620635986
16,0.08,0,1.47310209274292
16,0.08,1,1.5022821426391602
16,0.08,2,1.4715535640716553
16,0.09,0,1.4865167140960693
16,0.09,1,1.5121502876281738
16,0.09,2,1.4759783744812012
16,0.1,0,1.4919607639312744
16,0.1,1,1.538907527923584
16,0.1,2,1.4865317344665527
32,0.0,0,0.9469907283782959
32,0.0,1,1.2253689765930176
32,0.0,2,1.2267351150512695
32,0.01,0,0.903799295425415
32,0.01,1,0.9019813537597656
32,0.01,2,0.8847253322601318
32,0.02,0,0.9379262924194336
32,0.02,1,0.9021687507629395
32,0.02,2,0.9243497848510742
32,0.03,0,0.9582595825195312
32,0.03,1,1.007829189300537
32,0.03,2,1.0701630115509033
32,0.04,0,1.0860812664031982
32,0.04,1,1.074526071548462
32,0.04,2,1.0625641345977783
32,0.05,0,1.008103609085083
32,0.05,1,1.0091826915740967
32,0.05,2,1.017151117324829
32,0.06,0,1.032768726348877
32,0.06,1,1.0525519847869873
32,0.06,2,1.0183813571929932
32,0.07,0,1.0598819255828857
32,0.07,1,1.0521023273468018
32,0.07,2,1.0548250675201416
32,0.08,0,1.117781400680542
32,0.08,1,1.0881726741790771
32,0.08,2,1.0885565280914307
32,0.09,0,1.1129515171051025
32,0.09,1,1.110823631286621
32,0.09,2,1.1166257858276367
32,0.1,0,1.1257007122039795
32,0.1,1,1.140547275543213
32,0.1,2,1.1410870552062988
64,0.0,0,0.842540979385376
64,0.0,1,0.6856505870819092
64,0.0,2,0.8845176696777344
64,0.01,0,0.670557975769043
64,0.01,1,0.6709179878234863
64,0.01,2,0.6794445514678955
64,0.02,0,0.6852154731750488
64,0.02,1,0.706554651260376
64,0.02,2,0.7270197868347168
64,0.03,0,0.7308034896850586
64,0.03,1,0.7414135932922363
64,0.03,2,0.7485344409942627
64,0.04,0,0.7602963447570801
64,0.04,1,0.7551443576812744
64,0.04,2,0.7526309490203857
64,0.05,0,0.7899417877197266
64,0.05,1,0.787024736404419
64,0.05,2,0.7822778224945068
64,0.06,0,0.8397128582000732
64,0.06,1,0.8264930248260498
64,0.06,2,0.8177633285522461
64,0.07,0,0.8721616268157959
64,0.07,1,0.812462329864502
64,0.07,2,0.8346297740936279
64,0.08,0,0.8747313022613525
64,0.08,1,0.882366418838501
64,0.08,2,0.874746561050415
64,0.09,0,0.9095232486724854
64,0.09,1,0.9274253845214844
64,0.09,2,0.9099109172821045
64,0.1,0,0.9116413593292236
64,0.1,1,0.9571053981781006
64,0.1,2,0.9431569576263428
128,0.0,0,0.6202220916748047
128,0.0,1,0.6172404289245605
128,0.0,2,0.6101069450378418
128,0.01,0,0.5963232517242432
128,0.01,1,0.6140122413635254
128,0.01,2,0.5982959270477295
128,0.02,0,0.640892505645752
128,0.02,1,0.8633017539978027
128,0.02,2,0.6279270648956299
128,0.03,0,0.6908068656921387
128,0.03,1,0.7107505798339844
128,0.03,2,0.7268612384796143
128,0.04,0,0.8616142272949219
128,0.04,1,0.7391712665557861
128,0.04,2,0.710472583770752
128,0.05,0,0.7559709548950195
128,0.05,1,0.7960078716278076
128,0.05,2,0.7112970352172852
128,0.06,0,0.7707557678222656
128,0.06,1,0.7865090370178223
128,0.06,2,0.7796080112457275
128,0.07,0,0.8237991333007812
128,0.07,1,0.7894570827484131
128,0.07,2,0.8083159923553467
128,0.08,0,0.8403794765472412
128,0.08,1,0.8883833885192871
128,0.08,2,0.8552465438842773
128,0.09,0,0.8667700290679932
128,0.09,1,0.8857266902923584
128,0.09,2,0.8719775676727295
128,0.1,0,0.8814082145690918
128,0.1,1,0.987318754196167
128,0.1,2,0.8883087635040283
256,0.0,0,0.6114757061004639
256,0.0,1,0.5496079921722412
256,0.0,2,0.5541553497314453
256,0.01,0,0.5534842014312744
256,0.01,1,0.6138927936553955
256,0.01,2,0.5860786437988281
256,0.02,0,0.5647196769714355
256,0.02,1,0.5515890121459961
256,0.02,2,0.707101583480835
256,0.03,0,0.6314847469329834
256,0.03,1,0.6238877773284912
256,0.03,2,0.632904052734375
256,0.04,0,0.745258092880249
256,0.04,1,0.6609208583831787
256,0.04,2,0.6306533813476562
256,0.05,0,0.7078511714935303
256,0.05,1,0.7099325656890869
256,0.05,2,0.7274880409240723
256,0.06,0,0.7153503894805908
256,0.06,1,0.7617537975311279
256,0.06,2,0.7170641422271729
256,0.07,0,0.7109265327453613
256,0.07,1,0.7119894027709961
256,0.07,2,0.7157571315765381
256,0.08,0,0.7980375289916992
256,0.08,1,0.8097171783447266
256,0.08,2,0.8037331104278564
256,0.09,0,0.7983345985412598
256,0.09,1,0.8112592697143555
256,0.09,2,0.8280880451202393
256,0.1,0,0.9246835708618164
256,0.1,1,0.8574883937835693
256,0.1,2,0.8624727725982666
